Test 1: 10/24, 1:00AM
Hidden Layer 1: 12, Hidden Layer 2: 2, Output classes: 12, Baseline: 78.27% (24.83%)
Hidden Layer 1: 12, Hidden Layer 2: 3, Output classes: 12, Baseline: 84.83% (17.24%)
Hidden Layer 1: 12, Hidden Layer 2: 4, Output classes: 12, Baseline: 71.97% (34.02%)
Hidden Layer 1: 12, Hidden Layer 2: 5, Output classes: 12, Baseline: 87.07% (22.62%)
Hidden Layer 1: 12, Hidden Layer 2: 6, Output classes: 12, Baseline: 36.93% (33.42%)
Hidden Layer 1: 12, Hidden Layer 2: 7, Output classes: 12, Baseline: 87.00% (22.59%)
Hidden Layer 1: 12, Hidden Layer 2: 8, Output classes: 12, Baseline: 65.40% (27.38%)
Hidden Layer 1: 12, Hidden Layer 2: 9, Output classes: 12, Baseline: 87.43% (22.39%)
Hidden Layer 1: 13, Hidden Layer 2: 0, Output classes: 12, Baseline: 44.57% (28.33%)
Hidden Layer 1: 13, Hidden Layer 2: 1, Output classes: 12, Baseline: 59.33% (7.70%)
Hidden Layer 1: 13, Hidden Layer 2: 2, Output classes: 12, Baseline: 93.87% (9.77%)
Hidden Layer 1: 13, Hidden Layer 2: 3, Output classes: 12, Baseline: 98.40% (0.56%)
Hidden Layer 1: 13, Hidden Layer 2: 4, Output classes: 12, Baseline: 98.27% (0.67%)
Hidden Layer 1: 13, Hidden Layer 2: 5, Output classes: 12, Baseline: 87.13% (22.74%)
Hidden Layer 1: 13, Hidden Layer 2: 6, Output classes: 12, Baseline: 83.00% (31.34%)
Hidden Layer 1: 13, Hidden Layer 2: 7, Output classes: 12, Baseline: 87.80% (21.65%)
Hidden Layer 1: 13, Hidden Layer 2: 8, Output classes: 12, Baseline: 54.07% (22.56%)
Hidden Layer 1: 13, Hidden Layer 2: 9, Output classes: 12, Baseline: 48.90% (25.84%)
Hidden Layer 1: 14, Hidden Layer 2: 0, Output classes: 12, Baseline: 40.77% (30.03%)
Hidden Layer 1: 14, Hidden Layer 2: 1, Output classes: 12, Baseline: 69.20% (23.19%)
Hidden Layer 1: 14, Hidden Layer 2: 2, Output classes: 12, Baseline: 94.33% (8.59%)
Hidden Layer 1: 14, Hidden Layer 2: 3, Output classes: 12, Baseline: 98.47% (0.24%)
Hidden Layer 1: 14, Hidden Layer 2: 4, Output classes: 12, Baseline: 87.90% (21.70%)
Hidden Layer 1: 14, Hidden Layer 2: 5, Output classes: 12, Baseline: 71.47% (33.86%)
Hidden Layer 1: 14, Hidden Layer 2: 6, Output classes: 12, Baseline: 98.50% (0.38%)
Hidden Layer 1: 14, Hidden Layer 2: 7, Output classes: 12, Baseline: 98.67% (0.49%)
Hidden Layer 1: 14, Hidden Layer 2: 8, Output classes: 12, Baseline: 87.17% (21.84%)
Hidden Layer 1: 14, Hidden Layer 2: 9, Output classes: 12, Baseline: 93.73% (9.62%)
Hidden Layer 1: 15, Hidden Layer 2: 0, Output classes: 12, Baseline: 60.50% (23.14%)
Hidden Layer 1: 15, Hidden Layer 2: 1, Output classes: 12, Baseline: 76.50% (18.65%)
Hidden Layer 1: 15, Hidden Layer 2: 2, Output classes: 12, Baseline: 77.87% (19.02%)
Hidden Layer 1: 15, Hidden Layer 2: 3, Output classes: 12, Baseline: 98.33% (0.57%)
Hidden Layer 1: 15, Hidden Layer 2: 4, Output classes: 12, Baseline: 61.57% (22.96%)
Hidden Layer 1: 15, Hidden Layer 2: 5, Output classes: 12, Baseline: 71.97% (33.86%)
Hidden Layer 1: 15, Hidden Layer 2: 6, Output classes: 12, Baseline: 76.23% (27.42%)
Hidden Layer 1: 15, Hidden Layer 2: 7, Output classes: 12, Baseline: 98.77% (0.64%)
Hidden Layer 1: 15, Hidden Layer 2: 8, Output classes: 12, Baseline: 76.03% (27.53%)
Hidden Layer 1: 15, Hidden Layer 2: 9, Output classes: 12, Baseline: 72.17% (25.45%)
Hidden Layer 1: 16, Hidden Layer 2: 0, Output classes: 12, Baseline: 25.27% (16.04%)
Hidden Layer 1: 16, Hidden Layer 2: 1, Output classes: 12, Baseline: 68.37% (17.24%)
Hidden Layer 1: 16, Hidden Layer 2: 2, Output classes: 12, Baseline: 97.60% (1.76%)
Hidden Layer 1: 16, Hidden Layer 2: 3, Output classes: 12, Baseline: 82.60% (22.14%)
Hidden Layer 1: 16, Hidden Layer 2: 4, Output classes: 12, Baseline: 67.77% (26.02%)
Hidden Layer 1: 16, Hidden Layer 2: 5, Output classes: 12, Baseline: 71.97% (33.55%)
Hidden Layer 1: 16, Hidden Layer 2: 6, Output classes: 12, Baseline: 67.70% (38.31%)
Hidden Layer 1: 16, Hidden Layer 2: 7, Output classes: 12, Baseline: 94.37% (8.47%)
Hidden Layer 1: 16, Hidden Layer 2: 8, Output classes: 12, Baseline: 60.80% (23.03%)
Hidden Layer 1: 16, Hidden Layer 2: 9, Output classes: 12, Baseline: 60.77% (31.77%)
Hidden Layer 1: 17, Hidden Layer 2: 0, Output classes: 12, Baseline: 45.30% (27.46%)
Hidden Layer 1: 17, Hidden Layer 2: 1, Output classes: 12, Baseline: 72.43% (15.82%)
Hidden Layer 1: 17, Hidden Layer 2: 2, Output classes: 12, Baseline: 89.73% (9.94%)
Hidden Layer 1: 17, Hidden Layer 2: 3, Output classes: 12, Baseline: 98.50% (0.55%)
Hidden Layer 1: 17, Hidden Layer 2: 4, Output classes: 12, Baseline: 87.27% (21.97%)
Hidden Layer 1: 17, Hidden Layer 2: 5, Output classes: 12, Baseline: 87.63% (22.82%)
Hidden Layer 1: 17, Hidden Layer 2: 6, Output classes: 12, Baseline: 76.23% (27.88%)
Hidden Layer 1: 17, Hidden Layer 2: 7, Output classes: 12, Baseline: 87.43% (22.39%)
Hidden Layer 1: 17, Hidden Layer 2: 8, Output classes: 12, Baseline: 60.37% (32.30%)
Hidden Layer 1: 17, Hidden Layer 2: 9, Output classes: 12, Baseline: 72.10% (33.06%)
Hidden Layer 1: 18, Hidden Layer 2: 0, Output classes: 12, Baseline: 33.57% (11.08%)
Hidden Layer 1: 18, Hidden Layer 2: 1, Output classes: 12, Baseline: 78.23% (24.28%)
Hidden Layer 1: 18, Hidden Layer 2: 2, Output classes: 12, Baseline: 63.47% (21.88%)
Hidden Layer 1: 18, Hidden Layer 2: 3, Output classes: 12, Baseline: 98.67% (0.42%)
Hidden Layer 1: 18, Hidden Layer 2: 4, Output classes: 12, Baseline: 98.90% (0.65%)
Hidden Layer 1: 18, Hidden Layer 2: 5, Output classes: 12, Baseline: 87.20% (22.52%)
Hidden Layer 1: 18, Hidden Layer 2: 6, Output classes: 12, Baseline: 44.43% (29.04%)
Hidden Layer 1: 18, Hidden Layer 2: 7, Output classes: 12, Baseline: 82.90% (30.13%)
Hidden Layer 1: 18, Hidden Layer 2: 8, Output classes: 12, Baseline: 72.53% (33.36%)
Hidden Layer 1: 18, Hidden Layer 2: 9, Output classes: 12, Baseline: 66.97% (30.07%)
Hidden Layer 1: 19, Hidden Layer 2: 0, Output classes: 12, Baseline: 31.37% (26.68%)
Hidden Layer 1: 19, Hidden Layer 2: 1, Output classes: 12, Baseline: 59.17% (6.18%)
Hidden Layer 1: 19, Hidden Layer 2: 2, Output classes: 12, Baseline: 73.60% (31.50%)
Hidden Layer 1: 19, Hidden Layer 2: 3, Output classes: 12, Baseline: 87.03% (22.44%)
Hidden Layer 1: 19, Hidden Layer 2: 4, Output classes: 12, Baseline: 87.10% (22.47%)
Hidden Layer 1: 19, Hidden Layer 2: 5, Output classes: 12, Baseline: 93.90% (9.62%)
Hidden Layer 1: 19, Hidden Layer 2: 6, Output classes: 12, Baseline: 82.73% (22.15%)
Hidden Layer 1: 19, Hidden Layer 2: 7, Output classes: 12, Baseline: 67.27% (38.26%)
Hidden Layer 1: 19, Hidden Layer 2: 8, Output classes: 12, Baseline: 76.27% (27.78%)
Hidden Layer 1: 19, Hidden Layer 2: 9, Output classes: 12, Baseline: 76.77% (27.04%)
